CODIGO,UBICACIÓN,PRODUCTO,DESCRIPCIÓN,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO
S0310,AREA H,LAMPARAS,"LAMPARAS LED, VERDE",LUCECO,ELSWT22GBG3-MX2,1,,,
S0311,AREA EX1,PERTIGA,"PERTIGA DE 5 SECCIONES, AMARILLA",,,1,,,
S0312,AREA EX1,TENSOR,"TENSOR AISLADOR CON TAQUETE, NEGRO, BOLSAS DE 25 PZS",AMSA,1000677,400,,,
S0313,AREA EX1,ROSETA,"ROSETA PARA FIBRA OPTICA FTTH TELMEX, BLANCA 3M",FTTH TELMEX,1034445,139,,,
S0314,AREA EX1,CABLE,"CABLE RJ45, GRIS PARA INSTALACIONES, PATCH GRIS/AMARILLO",,,333,,,
S0315,AREA EX1,CAJA FAT,"CAJA FAT, PARA INSTALACIONES EN LA PARED, GRIS",YOFC,,5,,,
S0316,AREA EX1,FACEPLATE,"NETKEY2 POSITION FACEPLATE C, COMPATIBLE WITH NETKEY NETWORK, COMPONENTS SOLUTION",PANDUIT,NK2FIWY-3V,1,,,
S0317,AREA EX1,PLACA,"PLACA 3 MODULOS CON RECEPTACULO DUPLEX, BLANCO",EATON,100-6288WP,1,,,
S0318,AREA EX1,INTERRUPTOR,INTERRUPTOR SENCILLO ITALIANA 125V-10A,VOLTECK,APSE-1,1,,,
S0319,AREA EX1,CONTACTO,CONTACTO POLARIZADO Y ATERRIZADO ITALIANA-127V,VOLTECK,COA-1,1,,,
S0320,AREA EX1,INTERRUPTOR,INTERRUPTOR BLANCO,,,12,,,
S0321,AREA EX4,ROSETA,ROSETAS,N/A,N/A,1600,,,
S0322,AREA EX1,HERRAJES,HERRAJE TIPO D,,,-1271,,,
S0323,AREA A,WIRE TRACKER,"DETECTOR DE TRAFICO, AZUL",RECEIVER,,1,,,
S0324,AREA A,TEMPORIZADOR,TEMPORIZADOR BLANCO,STEREN,326,1,,,
S0325,AREA EX3,DISTRIBUIDOR  DE ENERGIA,UNIDAD DE DISTRIBUCION DE ENERGIA,LINKEDPRO,LP-PDV-14C,1,,,
S0326,AREA EX3,BATERIA DE CARGA AUTOMATICA,"Cargador de Baterías de Plomo Ácido 12 Volts, 15 A con Función de Respaldo de Energía en CD",SAMLEX,SEC1215UL,3,,,
S0327,AREA H,CORNETA,"ANTENA SECTORIAL SIMETRICA, STARTERHORN 30° USMA",RFELEMENTS,STH30USMA,0,,,
S0328,AREA H,CABLE,"CARRETE DE CABLE, AMARILLO",,,1,,,
S0329,AREA EX2,TENSOR,TENSOR P/CORD ACOM OPT 3MM,AMSA,1038272,300,,,
S0330,AREA EX2,TENSORES,TENSORES,,,-1446,,,
S0330,AREA EX2,TENSORES,,,,0,,,
S0330,AREA EX3,TENSORES,TENSORES,,,972,,,
S0331,AREA EX4,ESCRITORIO,"ESCRITORIO DE TRABAJO, PLATEADO",CONMFORTZONE,64060,1,,,
S0332,,PROBADOR,"PROBADOR DE TENSIÓN SIN CONTACTO, PROVO-2, NEGRO Y BLANCO",TRUPER,90 V-1000V,1,,,
